DOY2,HR2,FC,LE,H,SW_IN,TA,RH,USTAR,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,PA,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,WS
1,0.25,0.2705,-1.02,-7.47975,0,23.0715,90.005,0.059,384.7,392.08,397.0665,405.672,411.023,418.40525,99.347,-0.26925,408.223,437.14525,-36.2135,0,1.2635
1,0.75,0.326,-0.978,-6.7265,0,23.075,91.068,0.058,386.11875,393.25225,398.1,406.519,412.48325,419.6045,99.34625,-0.224,409.013,436.952,-35.565,0,1.16275
1,1.25,0.328,-1.09475,-6.2995,0,23,91.85025,0.06,386.70375,393.75975,399.68575,408.4365,412.594,421.191,99.33525,-0.236,410.481,436.563,-34.58,0,1.1375
1,1.75,0.33675,-1.111,-6.15,0,22.895,92.015,0.058,388.429,396.211,401.548,410.025,414.386,421.745,99.316,-0.215,409.7935,436.095,-34.29425,0,1.11375
1,2.25,0.81425,-0.90375,-5.993,0,22.82,92.3,0.056,389.959,396.225,401.443,410.284,415.17275,422.4575,99.304,-0.2265,409.3725,435.9125,-33.353,0,1.097
1,2.75,0.773,-1.2695,-7.127,0,22.78625,92.6,0.061,390.7,396.71975,402.9,411.531,416.343,424,99.3,-0.20875,408.84,435.4,-32.453,0,1.1365
1,3.25,0.7585,-1.38375,-6.6425,0,22.69,93.1,0.063,392.1395,398.3285,403.5,411.93625,416.13875,423.8,99.3,-0.234,409.219,435.04475,-32.206,0,1.14575
1,3.75,0.6955,-0.879,-7.332,0,22.64,93.7,0.059,392.553,398.6,403.822,411.978,417.1485,423.634,99.3,-0.187,410.282,434.69775,-31.852,0,1.15625
1,4.25,0.972,-0.881,-6.4235,0,22.6,94.2,0.056,392.869,398.627,403.9665,412.1215,417.7935,424.401,99.3,-0.15,410.8725,434.3435,-31.324,0,1.17575
1,4.75,1.185,-1.33,-7.068,0,22.5775,94.5,0.058,393.2255,399.611,403.9735,412.244,418.415,425.0245,99.3,-0.17,410.5575,434.35475,-31.142,0,1.15625
1,5.25,1.3095,-1.8365,-6.75,0,22.519,94.60725,0.0665,394.793,400.2,404.6,412.4,417.7,425.073,99.3,-0.16025,410.636,434.3185,-30.623,0,1.18025
1,5.75,1.54875,-1.3,-8.2535,0,22.51,94.64,0.068,394.4425,400.603,404.7345,413.3935,417.3355,424.824,99.3,-0.054,411.6,433.836,-29.492,0,1.11075
